NodeLeftSchemaName,NodeLeftTableName,NodeLeftName,NodeLeftDataType,NodeRightSchemaName,NodeRightTableName,NodeRightName,NodeRightDataType,BERT_BASE,FUZZY_MATCH,SYN_AND_SEM_MATCH
Openemr_Lists,Lists,occurence,Long,Krsiloemr,tblPatient,LongitudinalStrain,Double,0.7801,33,0.697
Openemr_PatientData,Patientdata,referral_source,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.6658,27,0.8031
MedTakmi_Cdi_Emr_Diagnosis,Cdi,dateOfDischarge,Date,Openemr_Lists,Lists,id,Long,0.6281,50,0.7783
Openemr_Lists,Lists,external_allergyid,String,Openemr_PatientData,Patientdata,regdate,DateTime,0.6902,43,0.8178
Openemr_PatientData,Patientdata,allow_patient_portal,String,Openemr_Lists,Lists,reaction,String,0.503,50,0.7699
LPanEmr,Patient,status,String,Openemr_PatientData,Patientdata,protect_indicator,String,0.7626,33,0.8239
Krsiloemr,tblPatient,PhysicalExam,Long,Openemr_PatientData,Patientdata,imm_reg_stat_effdate,String,0.6726,25,0.7563
MedTakmi_Cdi_Emr_Diagnosis,Cdi,outcome,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.7541,29,0.7415
emrbots,PatientCorePopulatedTable,PatientMaritalStatus,String,Openemr_PatientData,Patientdata,hipaa_allowmail,String,0.5303,33,0.7708
Openemr_PatientData,Patientdata,ethnicity,String,MedTakmi_Cdi_Emr_Profile,Cdi,dateOfFirstVisit,Date,0.4577,44,0.7894
Openemr_PatientData,Patientdata,phone_cell,Long,MedTakmi_Cdi_Emr_Profile,Cdi,RenalDysfunction,String,0.5013,20,0.676
Openemr_PatientData,Patientdata,ss,Long,emrbots,PatientCorePopulatedTable,PatientLanguage,String,0.509,0,0.618
LPanEmr,Patient,advice,String,Openemr_Lists,Lists,external_allergyid,String,0.5435,33,0.7938
MedTakmi_Cdi_Emr_Profile,Cdi,RenalDysfunction,String,LPanEmr,Patient,allergichistory,String,0.5747,36,0.7617
Openemr_Lists,Lists,external_id,String,Openemr_PatientData,Patientdata,completed_ad,String,0.6282,45,0.7412
Krsiloemr,tblPatient,eSeptal,Double,Openemr_Lists,Lists,groupname,String,0.7493,29,0.7778
LPanEmr,Patient,illness,String,Openemr_PatientData,Patientdata,phone_contact,Long,0.4231,29,0.6971
Openemr_PatientData,Patientdata,userlist1,String,emrbots,PatientCorePopulatedTable,PatientId,String,0.5917,22,0.7543
Openemr_PatientData,Patientdata,userlist3,String,Openemr_Lists,Lists,id,Long,0.6593,50,0.7239
Openemr_PatientData,Patientdata,contact_relationship,String,Openemr_Lists,Lists,title,String,0.6694,40,0.755
Krsiloemr,tblPatient,LVMI,Double,Openemr_PatientData,Patientdata,genericname1,String,0.6303,0,0.6406
Openemr_Lists,Lists,classification,Long,Openemr_PatientData,Patientdata,ad_reviewed,DateTime,0.7814,18,0.6734
Openemr_PatientData,Patientdata,ss,Long,Openemr_Lists,Lists,id,Long,0.8096,0,0.6743
Openemr_PatientData,Patientdata,care_team_provider,String,Krsiloemr,tblPatient,SymptomsAndSigns,Long,0.6714,25,0.7297
emrbots,PatientCorePopulatedTable,PatientRace,String,Openemr_PatientData,Patientdata,allow_imm_info_share,String,0.5067,36,0.7583
Openemr_PatientData,Patientdata,usertext1,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.6793,22,0.7834
LPanEmr,Patient,name,String,Openemr_PatientData,Patientdata,pharmacy_id,Long,0.5487,50,0.533
MedTakmi_Cdi_Emr_Diagnosis,Cdi,diseaseNameOnAdmission,String,MedTakmi_Cdi_Emr_Profile,Cdi,RenalDysfunction,String,0.6831,38,0.8606
LPanEmr,Patient,status,String,Krsiloemr,tblPatient,PatientID,String,0.682,33,0.7928
Openemr_Lists,Lists,injury_part,String,Openemr_PatientData,Patientdata,ad_reviewed,DateTime,0.7231,18,0.7788
Openemr_PatientData,Patientdata,cmsportal_login,String,LPanEmr,Patient,temperature,Long,0.5104,36,0.7079
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,userlist7,String,0.44,33,0.5885
Openemr_Lists,Lists,user,String,Openemr_PatientData,Patientdata,genericname1,String,0.6695,50,0.703
Krsiloemr,tblPatient,LVEF,Double,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,testName,String,0.6581,0,0.642
Openemr_PatientData,Patientdata,pubpid,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,patientID,Long,0.6217,33,0.6896
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,userlist4,String,0.5354,33,0.5244
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,userlist3,String,0.4768,33,0.5866
emrbots,PatientCorePopulatedTable,PatientName,String,Openemr_PatientData,Patientdata,allow_patient_portal,String,0.812,55,0.74
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,userlist6,String,0.41,33,0.5811
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,userlist5,String,0.4043,33,0.5762
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,userlist2,String,0.4779,33,0.5681
Openemr_PatientData,Patientdata,homeless,String,Openemr_Lists,Lists,external_allergyid,String,0.3657,25,0.6385
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,userlist1,String,0.5282,33,0.5351
Krsiloemr,tblPatient,Age,Long,Openemr_PatientData,Patientdata,state,String,0.6618,33,0.8103
Openemr_PatientData,Patientdata,guardiancountry,String,Krsiloemr,tblPatient,ClinicalHistory,Long,0.5028,40,0.7038
Openemr_Lists,Lists,pid,Long,Openemr_PatientData,Patientdata,city,String,0.6714,33,0.6893
MedTakmi_Cdi_Emr_Therapy,Cdi,careGroup,String,Openemr_PatientData,Patientdata,allow_imm_info_share,String,0.5802,33,0.7019
Openemr_Lists,Lists,modifydate,DateTime,Openemr_PatientData,Patientdata,imm_reg_stat_effdate,String,0.8114,50,0.8378
Openemr_PatientData,Patientdata,interpretter,String,Openemr_Lists,Lists,destination,String,0.8258,27,0.7641
LPanEmr,Patient,status,String,Openemr_PatientData,Patientdata,publicity_code,String,0.6687,17,0.5431
emrbots,PatientCorePopulatedTable,admissionList,String,MedTakmi_Cdi_Emr_Therapy,Cdi,operativeProcedure1,String,0.6894,23,0.6711
Krsiloemr,tblPatient,Ee,Double,Openemr_Lists,Lists,destination,String,0.7703,50,0.7465
Openemr_Lists,Lists,user,String,Openemr_PatientData,Patientdata,deceased_date,String,0.5354,50,0.6865
Krsiloemr,tblPatient,PatientName,String,Openemr_PatientData,Patientdata,phone_home,Long,0.5844,30,0.8161
emrbots,PatientCorePopulatedTable,PatientName,String,MedTakmi_Cdi_Emr_Diagnosis,Cdi,patientID,Long,0.9161,67,0.9918
Openemr_Lists,Lists,injury_type,String,Krsiloemr,tblPatient,LVEF,Double,0.5523,0,0.5922
Openemr_PatientData,Patientdata,userlist1,String,LPanEmr,Patient,heartrate,Long,0.4875,33,0.8217
Openemr_Lists,Lists,injury_grade,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.5075,17,0.75
Krsiloemr,tblPatient,PatientMRNNo,Long,Openemr_Lists,Lists,destination,String,0.6395,45,0.2816
Openemr_PatientData,Patientdata,vfc,String,Krsiloemr,tblPatient,ClinicalHistory,Long,0.4451,33,0.626
MedTakmi_Cdi_Emr_Therapy,Cdi,operativeSite1,String,Openemr_Lists,Lists,modifydate,DateTime,0.7223,30,0.7153
LPanEmr,Patient,height,Long,Openemr_PatientData,Patientdata,guardiansname,String,0.5757,17,0.5444
emrbots,PatientCorePopulatedTable,PatientDateOfBirth,Date,Krsiloemr,tblPatient,SymptomsAndSigns,Long,0.6385,19,0.7428
Openemr_Lists,Lists,injury_part,String,LPanEmr,Patient,diagnosis,String,0.6544,11,0.8225
Openemr_PatientData,Patientdata,fitness,Long,Openemr_Lists,Lists,reinjury_id,Long,0.4,29,0.7838
LPanEmr,Patient,description,String,Openemr_PatientData,Patientdata,genericname1,String,0.7177,36,0.6272
LPanEmr,Patient,weight,Long,Krsiloemr,tblPatient,PhysicalExam,Long,0.6781,17,0.5732
emrbots,PatientCorePopulatedTable,admissionList,String,Openemr_PatientData,Patientdata,phone_home,Long,0.5483,20,0.7604
Openemr_PatientData,Patientdata,pid,Long,Krsiloemr,tblPatient,Gender,String,0.6357,33,0.6962
Krsiloemr,tblPatient,eSeptal,Double,Openemr_Lists,Lists,title,String,0.8205,40,0.7771
Openemr_Lists,Lists,external_id,String,Openemr_PatientData,Patientdata,allow_imm_reg_use,String,0.7482,18,0.8397
Openemr_PatientData,Patientdata,occupation,String,MedTakmi_Cdi_Emr_Diagnosis,Cdi,patientID,Long,0.5868,67,0.7004
Openemr_PatientData,Patientdata,financial_review,DateTime,Krsiloemr,tblPatient,PhysicalExam,Long,0.491,33,0.614
Openemr_PatientData,Patientdata,ethnoracial,String,Krsiloemr,tblPatient,PatientMRNNo,Long,0.6215,27,0.2307
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,testName,String,Openemr_Lists,Lists,groupname,String,0.705,38,0.8173
Openemr_Lists,Lists,verification,String,Openemr_PatientData,Patientdata,guardiancountry,String,0.6962,42,0.6626
LPanEmr,Patient,time,DateTime,Openemr_Lists,Lists,id,Long,0.7922,50,0.7253
LPanEmr,Patient,gender,String,Openemr_PatientData,Patientdata,care_team_facility,String,0.5649,33,0.6701
Openemr_PatientData,Patientdata,uuid,String,Openemr_Lists,Lists,subtype,String,0.8114,25,0.6532
Openemr_Lists,Lists,injury_grade,String,Openemr_PatientData,Patientdata,financial,String,0.5453,22,0.7351
MedTakmi_Cdi_Emr_Profile,Cdi,patientID,Long,Openemr_PatientData,Patientdata,city,String,0.4732,25,0.7187
MedTakmi_Cdi_Emr_CareHistory,Cdi,patientID,Long,Openemr_Lists,Lists,groupname,String,0.6445,33,0.8373
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,material,String,Openemr_Lists,Lists,uuid,String,0.707,25,0.6609
Openemr_Lists,Lists,referredby,String,Krsiloemr,tblPatient,ClinicalHistory,Long,0.5273,20,0.8283
Openemr_PatientData,Patientdata,usertext8,String,Openemr_Lists,Lists,enddate,Date,0.5764,43,0.7731
Openemr_Lists,Lists,type,String,Openemr_PatientData,Patientdata,date,DateTime,0.6825,50,0.7425
Openemr_Lists,Lists,type,String,Openemr_PatientData,Patientdata,imm_reg_stat_effdate,String,0.7521,50,0.7665
MedTakmi_Cdi_Emr_Diagnosis,Cdi,outcome,String,Openemr_Lists,Lists,subtype,String,0.8482,43,0.7307
Openemr_PatientData,Patientdata,genericname2,String,Openemr_Lists,Lists,modifydate,DateTime,0.6692,30,0.643
LPanEmr,Patient,birthday,Date,emrbots,PatientCorePopulatedTable,AdmissionStartDate,Date,0.6231,38,0.581
Openemr_PatientData,Patientdata,status,String,Openemr_Lists,Lists,erx_source,Long,0.7249,33,0.7748
Openemr_Lists,Lists,uuid,String,Krsiloemr,tblPatient,LAVI,Double,0.793,0,0.724
LPanEmr,Patient,diastolicbp,Long,MedTakmi_Cdi_Emr_Therapy,Cdi,careGroup,String,0.6415,33,0.7426
LPanEmr,Patient,diagnosis,String,Openemr_PatientData,Patientdata,race,String,0.5523,25,0.7867
Openemr_PatientData,Patientdata,ethnicity,String,LPanEmr,Patient,heartrate,Long,0.5439,33,0.7157
LPanEmr,Patient,insurance,String,Openemr_PatientData,Patientdata,email_direct,String,0.4722,33,0.7755
Openemr_Lists,Lists,external_allergyid,String,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,result,String,0.6046,33,0.8319
MedTakmi_Cdi_Emr_Therapy,Cdi,patientID,Long,Openemr_PatientData,Patientdata,title,String,0.6568,60,0.6503
Openemr_Lists,Lists,pid,Long,MedTakmi_Cdi_Emr_CareHistory,Cdi,department,String,0.7496,33,0.4492
Openemr_PatientData,Patientdata,guardianaddress,String,Krsiloemr,tblPatient,PatientName,String,0.586,45,0.7589
LPanEmr,Patient,description,String,Openemr_PatientData,Patientdata,phone_contact,Long,0.6188,38,0.7695
Openemr_PatientData,Patientdata,protect_indicator,String,Openemr_Lists,Lists,referredby,String,0.749,30,0.8503
MedTakmi_Cdi_Emr_Profile,Cdi,dateOfFirstVisit,Date,Openemr_PatientData,Patientdata,lname,String,0.651,40,0.8196
Openemr_PatientData,Patientdata,referral_source,String,MedTakmi_Cdi_Emr_Profile,Cdi,patientID,Long,0.6978,22,0.7824
LPanEmr,Patient,time,DateTime,Openemr_PatientData,Patientdata,prot_indi_effdate,String,0.7005,50,0.8097
Openemr_PatientData,Patientdata,billing_note,String,LPanEmr,Patient,advice,String,0.6038,17,0.8121
MedTakmi_Cdi_Emr_Diagnosis,Cdi,outcome,String,MedTakmi_Cdi_Emr_Therapy,Cdi,careGroup,String,0.5852,29,0.6325
Openemr_Lists,Lists,external_id,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.604,27,0.8041
MedTakmi_Cdi_Emr_Profile,Cdi,name,String,Openemr_Lists,Lists,reinjury_id,Long,0.6808,25,0.62
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,date,DateTime,Openemr_PatientData,Patientdata,referral_source,String,0.5705,25,0.8082
Openemr_Lists,Lists,date,DateTime,LPanEmr,Patient,illness,String,0.4584,25,0.6576
Openemr_PatientData,Patientdata,userlist1,String,Openemr_Lists,Lists,destination,String,0.6407,33,0.7201
Openemr_Lists,Lists,outcome,Long,emrbots,PatientCorePopulatedTable,AdmissionStartDate,Date,0.7018,29,0.7712
Openemr_PatientData,Patientdata,hipaa_mail,String,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,patientID,Long,0.5773,35,0.7312
Openemr_PatientData,Patientdata,phone_cell,Long,Openemr_Lists,Lists,enddate,Date,0.5288,29,0.7388
Openemr_PatientData,Patientdata,referrer,String,Openemr_Lists,Lists,diagnosis,String,0.8008,0,0.8058
MedTakmi_Cdi_Emr_Diagnosis,Cdi,outcome,String,Openemr_PatientData,Patientdata,deceased_date,String,0.549,29,0.7587
Krsiloemr,tblPatient,eSeptal,Double,Openemr_PatientData,Patientdata,genericname1,String,0.6887,29,0.6953
MedTakmi_Cdi_Emr_Diagnosis,Cdi,dateOfDischarge,Date,Openemr_Lists,Lists,severity_al,String,0.5593,27,0.7611
Krsiloemr,tblPatient,LVEF,Double,Openemr_Lists,Lists,external_id,String,0.6355,0,0.5421
emrbots,PatientCorePopulatedTable,PatientPopulationPercentageBelowPoverty,String,Krsiloemr,tblPatient,LongitudinalStrain,Double,0.587,39,0.7308
Openemr_Lists,Lists,injury_part,String,Openemr_PatientData,Patientdata,guardianworkphone,Long,0.5534,36,0.5748
Openemr_PatientData,Patientdata,userlist1,String,LPanEmr,Patient,pid,Long,0.6784,33,0.7761
Openemr_Lists,Lists,injury_type,String,Openemr_PatientData,Patientdata,prot_indi_effdate,String,0.6231,36,0.7377
Openemr_Lists,Lists,subtype,String,Openemr_PatientData,Patientdata,language,String,0.8107,29,0.7982
LPanEmr,Patient,status,String,Openemr_PatientData,Patientdata,hipaa_allowsms,String,0.7621,33,0.8095
Openemr_PatientData,Patientdata,hipaa_voice,String,Openemr_Lists,Lists,activity,Long,0.6024,38,0.8016
Openemr_Lists,Lists,injury_part,String,Openemr_PatientData,Patientdata,language,String,0.5894,25,0.8238
Openemr_Lists,Lists,pid,Long,Openemr_PatientData,Patientdata,care_team_facility,String,0.5952,33,0.6933
Openemr_PatientData,Patientdata,usertext4,String,emrbots,PatientCorePopulatedTable,AdmissionId,Long,0.5942,11,0.746
emrbots,PatientCorePopulatedTable,PatientGender,String,Openemr_PatientData,Patientdata,pricelevel,String,0.4629,40,0.7977
Openemr_Lists,Lists,user,String,Openemr_PatientData,Patientdata,squad,String,0.8227,25,0.7444
Openemr_Lists,Lists,enddate,Date,Openemr_PatientData,Patientdata,regdate,DateTime,0.7627,71,0.9416
MedTakmi_Cdi_Emr_Profile,Cdi,gender,String,Openemr_PatientData,Patientdata,guardiansname,String,0.6188,33,0.7595
emrbots,PatientCorePopulatedTable,PatientGender,String,LPanEmr,Patient,temperature,Long,0.4718,36,0.8173
Openemr_Lists,Lists,outcome,Long,Openemr_PatientData,Patientdata,religion,String,0.5731,14,0.7627
Krsiloemr,tblPatient,SymptomsAndSigns,Long,MedTakmi_Cdi_Emr_Diagnosis,Cdi,patientID,Long,0.7239,33,0.7484
Openemr_Lists,Lists,referredby,String,Openemr_PatientData,Patientdata,city,String,0.684,25,0.6877
Openemr_Lists,Lists,list_option_id,String,Openemr_PatientData,Patientdata,lname,String,0.7891,20,0.7664
LPanEmr,Patient,birthday,Date,Openemr_PatientData,Patientdata,state,String,0.561,40,0.6875
Openemr_PatientData,Patientdata,phone_cell,Long,LPanEmr,Patient,systailicbp,Long,0.4825,10,0.68
Krsiloemr,tblPatient,ECG,Long,Openemr_Lists,Lists,referredby,String,0.7738,0,0.7811
Openemr_PatientData,Patientdata,referrerID,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.6816,20,0.8233
Krsiloemr,tblPatient,LongitudinalStrain,Double,Openemr_Lists,Lists,groupname,String,0.684,44,0.7614
Openemr_Lists,Lists,modifydate,DateTime,Krsiloemr,tblPatient,BNP,Double,0.6654,0,0.7843
Openemr_Lists,Lists,pid,Long,MedTakmi_Cdi_Emr_CareHistory,Cdi,DateOfAdmission,DateTime,0.6319,33,0.798
Openemr_PatientData,Patientdata,genericval2,String,Krsiloemr,tblPatient,LongitudinalStrain,Double,0.6379,36,0.7517
Openemr_Lists,Lists,external_id,String,LPanEmr,Patient,description,String,0.7213,27,0.7679
Openemr_PatientData,Patientdata,usertext1,String,emrbots,PatientCorePopulatedTable,AdmissionEndDate,Date,0.6915,22,0.7824
LPanEmr,Patient,status,String,Openemr_Lists,Lists,modifydate,DateTime,0.7423,36,0.7272
Openemr_Lists,Lists,list_option_id,String,Openemr_PatientData,Patientdata,city,String,0.5891,50,0.7213
Openemr_PatientData,Patientdata,pricelevel,String,Krsiloemr,tblPatient,LVMI,Double,0.5853,0,0.7075
Openemr_Lists,Lists,injury_type,String,LPanEmr,Patient,pasthistory,String,0.5299,27,0.8128
Openemr_PatientData,Patientdata,usertext4,String,Openemr_Lists,Lists,returndate,String,0.5716,44,0.8622
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,result,String,MedTakmi_Cdi_Emr_CareHistory,Cdi,department,String,0.8343,50,0.6457
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,state,String,0.6242,20,0.5863
LPanEmr,Patient,diagnosis,String,Openemr_PatientData,Patientdata,squad,String,0.764,20,0.8048
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,date,DateTime,Openemr_Lists,Lists,diagnosis,String,0.6042,50,0.8586
Openemr_Lists,Lists,enddate,Date,MedTakmi_Cdi_Emr_Therapy,Cdi,patientID,Long,0.6061,43,0.7351
Openemr_PatientData,Patientdata,mname,String,emrbots,PatientCorePopulatedTable,admissionList,String,0.7365,20,0.7759
Krsiloemr,tblPatient,PhysicalExam,Long,LPanEmr,Patient,gender,String,0.5447,0,0.707
Openemr_Lists,Lists,subtype,String,LPanEmr,Patient,temperature,Long,0.7079,29,0.7975
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,result,String,MedTakmi_Cdi_Emr_Diagnosis,Cdi,diseaseNameOnDischarge,String,0.5077,33,0.8124
Openemr_Lists,Lists,verification,String,Openemr_PatientData,Patientdata,genericname1,String,0.7381,42,0.5916
